## Layer	Depth.nominal-3	Layer	polar	upper.size.fraction	Depth.nominal-1	Depth.nominal-2	Ocean.region	TemperatureInterval5	TemperatureInterval5x	TemperatureInterval5x2	TemperatureInterval10	TemperatureInterval10x	TemperatureInterval10x2	ChlorophyllA-RANGE1	ChlorophyllA-RANGE2	PO4-CAT1	PO4-CAT2	Ammonium.5m-range1	Ammonium.5m-range2	NO2-RANGE1	NO2-RANGE1	NO2NO3-RANGE1XX	NO2NO3-RANGE1	NO2NO3-RANGE2	Iron.5m-CAT1	Iron.5m-CAT2
SRF-194	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0020 to 0.0040	0.0020 to 0.0080	0.0900 to 0.1200	0.1100 to 0.2000	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-205	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	1.0 to 2.7 	1.0 to 2.0	0.500-1.000	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.0600 to 0.0800	0.0600 to 0.1000	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-175	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.75 to 1.0	0.050-0.100	0.010-0.100	0.0002 to 0.0010	0.0002 to 0.0010	0.0010 to 0.0020	0.0010 to 0.0100	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
SRF-180	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.5 to 0.75	0.100-0.500	0.100-1.000	0.0020 to 0.0040	0.0020 to 0.0080	0.0110 to 0.0150	0.0110 to 0.0200	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
SRF-191	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.3to 0.5	0.3 to 0.5	1.000-2.500	1.000-2.500	0.0002 to 0.0010	0.0002 to 0.0010	0.0600 to 0.0800	0.0600 to 0.1000	0.7500 to 1.0000	0.7500 to 1.0000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
SRF-196	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.0600 to 0.0800	0.0600 to 0.1000	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-178	D1   5m	SRF	polar	3 um	5m 	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.1 to 0.2	0.1 to 0.15	0.010-0.050	0.010-0.100	0.0020 to 0.0040	0.0020 to 0.0080	0.0070 to 0.0100	0.0010 to 0.0100	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
MIX-168	NA	MIX	polar	3 um	NA	NA	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.3to 0.5	0.3 to 0.5	0.050-0.100	0.010-0.100	0.0060 to 0.0080	0.0020 to 0.0080	0	0	0.7500 to 1.0000	0.7500 to 1.0000	0.1100 to 1.0000	0.0001 - 0.0005	0.00010-0.00050
DCM-122	D5   100 to 200	DCM	non polar	3 um	100 to 150m	D5 100 to 150m	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.500-1.000	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.0900 to 0.1200	0.0600 to 0.1000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
DCM-66	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Atlantic	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.2 to 0.3	0.20 to 0.25	0.100-0.500	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.2300 to 0.3000	0.2300 to 0.4600	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	0.0001 - 0.0005	0.00010-0.00050
DCM-93	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Pacific	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.3to 0.5	0.3 to 0.5	0.500-1.000	0.100-1.000	0.0320 to 0.0420	0.0320 to 0.0420	0.3100 to 0.4600	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
DCM-137	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	N-Pacific	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.3to 0.5	0.3 to 0.5	0.500-1.000	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.2300 to 0.3000	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
